ISBN	Book-Title	Book-Author	Year-Of-Publication
1244	0345368754	Foucault's Pendulum	Umberto Eco	1990
1245	0553213164	Anne of Windy Poplars (Anne of Green Gables Novels (Paperback))	L.M. MONTGOMERY	1983
1246	0446603929	See How They Run	James Patterson	1997
1247	0553213180	Anne's House of Dreams	L.M. MONTGOMERY	1983
1248	0375756981	The Vagina Monologues: The V-Day Edition	Eve Ensler	2000
1249	0061099708	Colony	Anne Rivers Siddons	1993
1250	0425182886	Pot Shot	Robert B. Parker	2002
1251	0684195488	Accordion Crimes	E. Annie Proulx	1996
1252	0440220424	Having Our Say : The Delany Sisters' First 100 Years	SARAH L. DELANY	1994
1253	0689817851	Go Ask Alice	Anonymous	1998
1254	0373250207	Fishbowl (Red Dress Ink (Paperback))	Sarah Mlynowski	2002
1255	0312306326	Visions of Sugar Plums	Janet Evanovich	2002
1256	0061093335	Nora, Nora: A Novel	Anne Rivers Siddons	2001
1257	0446359750	Devices and Desires	Phyllis White	1991
1258	0767916069	Under the Tuscan Sun : At Home in Italy	FRANCES MAYES	2003
1259	0140179836	The Liar's Club: A Memoir	Mary Karr	1998
1260	0553581554	The Killing Game: Only One Can Win...and the Loser Dies	Iris Johansen	2000
1261	0451203593	24 Hours	Greg Iles	2001
1262	0451180232	Nightmares &amp; Dreamscapes	Stephen King	2004
1263	0451137965	Thinner	Stephen King	1985
1264	0425128164	The Voice of the Night	Dean R. Koontz	1996
1265	042510687X	Outbreak	Robin Cook	1991
1266	0553573616	My Point...And I Do Have One	ELLEN DEGENERES	1996
1267	0515129941	The Cat Who Robbed a Bank (Cat Who... (Paperback))	Lilian Jackson Braun	2001
1268	0440204208	Blood Shot (V.I. Warshawski Novels (Paperback))	Sara Paretsky	1989
1269	0425105334	The Talisman	Stephen King	1991
1270	0375758232	Paris to the Moon	Adam Gopnik	2001
1271	0671886665	A Cry In The Night	Mary Higgins Clark	1993
1272	0440487617	A Wind in the Door	Madeleine L'Engle	1974
1273	074322423X	Self Matters : Creating Your Life from the Inside Out	Phillip C. McGraw	2001
1274	0312981589	Robert Ludlum's The Cassandra Compact (A Covert-One Novel)	Robert Ludlum	2002
1275	0743211375	From a Buick 8 : A Novel	Stephen King	2002
1276	0446515078	Scarlett: The Sequel to Margaret Mitchell's Gone With the Wind	Alexandra Ripley	1991
1277	0425130711	Cold Fire	Dean R. Koontz	1996
1278	080411868X	Welcome to the World, Baby Girl!	Fannie Flagg	1999
1279	0425145638	Fatal Cure	Robin Cook	1997
1280	140003065X	A Fine Balance	Rohinton Mistry	2001
1281	0553260960	The Mammoth Hunters (Auel, Jean M. , Earth's Children.)	Jean M. Auel	1986
1282	0671028383	Grave Secrets	Kathy Reichs	2003
1283	0671011367	Deja Dead	Kathy Reichs	1998
1284	0553569910	The Ugly Duckling	Iris Johansen	1997
1285	0553578685	The Third Victim	LISA GARDNER	2001
1286	0553574639	The Main Corpse (Culinary Mysteries (Paperback))	Diane Mott Davidson	1997
1287	0786866845	Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole	Dr. Jerri Nielsen	2001
1288	0312989393	Queen Bee of Mimosa Branch	Haywood Smith	2003
1289	0060391626	I Know This Much Is True (Oprah's Book Club)	Wally Lamb	1998
1290	0345409329	Blood and Gold (Rice, Anne, Vampire Chronicles.)	Anne Rice	2002
1291	044011585X	Crossings	DANIELLE STEEL	1987
1292	0440200563	Fine Things	Danielle Steel	1988
1293	0425080021	Dune	Frank Herbert	1984
1294	0671743058	Boy's Life	Robert McCammon	1992
1295	0743203631	Gap Creek: The Story Of A Marriage	Robert Morgan	2000
1296	0553213172	Anne of the Island	Lucy Maud Montgomery	1983
1297	0060931418	Their Eyes Were Watching God	Zora Neale Hurston	1998
1298	0449204324	Blue Highways a Journey Into America	William Least Heat-Moon	1983
1299	0140089225	The Bone People	Keri Hulme	1986
1300	0385425473	Wild Swans: Three Daughters of China	JUNG CHANG	1992
1301	0743448642	Whispers and Lies	Joy Fielding	2003
1302	0821769367	The Night Before	Lisa Jackson	2003
1303	0515132136	The Jury	Steve Martini	2002
1304	0805036504	N Is for Noose (Kinsey Millhone Mysteries (Hardcover))	Sue Grafton	1998
1305	0679434046	In the Kitchen With Rosie: Oprah's Favorite Recipes	Rosie Daley	1994
1306	0425177351	Bio-Strike (Tom Clancy's Power Plays (Paperback))	Jerome Preisler	2000
1307	0312974256	Welcome to Temptation	Jennifer Crusie	2001
1308	0515128546	Tears of the Moon (Irish Trilogy)	Nora Roberts	2000
1309	0399149392	Chesapeake Blue (Quinn Brothers (Hardcover))	Nora Roberts	2002
1310	0385413041	Beach Music	PAT CONROY	1995
1311	0316769495	Franny and Zooey	J.D. Salinger	1991
1312	0142003727	Revenge of the Middle-Aged Woman	Elizabeth Buchan	2003
1313	0345422317	The Genesis Code	John Case	1998
1314	0786862564	Make the Connection: Ten Steps to a Better Body and a Better Life	Bob Greene	1996
1315	0440173922	The Ring	Danielle Steel	1983
1316	0061031992	A Theory of Relativity	Jacquelyn Mitchard	2002
1317	0425104346	Darkfall	Dean R. Koontz	1996
1318	0515130966	Riptide	Catherine Coulter	2001
1319	0684195976	BODY FARM	Patricia Cornwell	1994
1320	0449911519	Secret History : A Novel	DONNA TARTT	1996
1321	0451173317	The Waste Lands (The Dark Tower, Book 3)	Stephen King	1997
1322	0553560441	The Road to Omaha	Robert Ludlum	1993
1323	0345298349	Gorky Park	Martin Cruz Smith	1993
1324	0140276904	Jemima J	Jane Green	0
1325	3404148665	Illuminati.	Dan Brown	2003
1326	1558745157	The Lost Boy: A Foster Child's Search for the Love of a Family	Dave Pelzer	1997
1327	0312955006	The Concrete Blonde (A Harry Bosch Novel)	Michael Connelly	1995
1328	0679723110	Grendel	John Champlin Gardner	1989
1329	0060936231	Soul Mountain	Gao Xingjian	2001
1330	0679774025	All over but the Shoutin'	Rick Bragg	1998
1331	1573222267	Blue Shoe	Anne Lamott	2002
1332	0316781010	Fortune's Rocks: A Novel	Anita Shreve	1999
1333	0064400018	Little House in the Big Woods	Laura Ingalls Wilder	1953
1334	0804102988	Sarum: The Novel of England	Edward Rutherford	1992
1335	0345404769	Silent Witness	RICHARD NORTH PATTERSON	1997
1336	0425158594	Demon Seed	Dean R. Koontz	1997
1337	0440221099	Talk Before Sleep: A Novel	Elizabeth Berg	1995
1338	157322930X	High Maintenance	Jennifer Belle	2002
1339	0671873199	All That Glitters (Landry)	V.C. Andrews	1995
1340	0515099546	The Cat Who Sniffed Glue	Lilian Jackson Braun	1996
1341	0515133876	Narcissus in Chains (Anita Blake Vampire Hunter (Paperback))	Laurell K. Hamilton	2002
1342	0684849690	The SECRET DIARY OF ANNE BOLEYN	Robin Maxwell	1998
1343	0671027581	Open Season	Linda Howard	2002
1344	1573229725	Fingersmith	Sarah Waters	2002
1345	0671534726	Heart Song (Logan)	V.C. Andrews	1997
1346	0671873202	Hidden Jewel (Landry)	V.C. Andrews	1995
1347	0671534734	Unfinished Symphony (Logan)	V.C. Andrews	1997
1348	0671534742	Music in the Night (Logan)	V.C. Andrews	1998
1349	0425136981	Shadowfires	Dean R. Koontz	1994
1350	0440224780	The Ranch	DANIELLE STEEL	1998
1351	0446671002	The Celestine Prophecy	James Redfield	1995
1352	0590453653	Welcome to Dead House (Goosebumps, No 1)	R. L. Stine	1995
1353	0804115761	Thousand Acres	JANE SMILEY	1996
1354	0553285920	Silent Partner (Alex Delaware Novels (Paperback))	Jonathan Kellerman	1990
1355	0061097853	The First Eagle (Jim Chee Novels)	Tony Hillerman	1999
1356	0671867091	Remember Me	Mary Higgins Clark	1995
1357	0425147517	The Key to Midnight	Dean R. Koontz	1995
1358	0515130044	The Attorney	Steve Martini	2001
1359	038072118X	Where is Joe Merchant?	Jimmy Buffett	1993
1360	0553576798	The Other Daughter	LISA GARDNER	1999
1361	0345446666	Death in Holy Orders : An Adam Dalgliesh Mystery	P.D. JAMES	2002
1362	0380710722	It's Always Something	Gilda Radner	1990
1363	0380710811	The First Man in Rome	Colleen McCullough	1991
1364	0553582364	A Traitor to Memory	Elizabeth George	2002
1365	0446611476	Stone Kiss	Faye Kellerman	2003
1366	0553284363	Payment in Blood	Elizabeth George	1990
1367	0743411331	Never Change	Elizabeth Berg	2002
1368	0553210793	The Adventures of Huckleberry Finn (Bantam Classics)	MARK TWAIN	1981
1369	0786867647	Lucky Man: A Memoir	Michael J. Fox	2002
1370	0425097722	Fatherhood	Bill Cosby	1994
1371	067189109X	The Blessing	Jude Deveraux	1999
1372	0151002290	East of the Mountains	David Guterson	1999
1373	0345445848	Big Cherry Holler: A Big Stone Gap Novel (Ballantine Reader's Circle)	Adriana Trigiani	2002
1374	0440176484	Secrets	DANIELLE STEEL	1986
1375	0553576143	The Cry of the Halidon	Robert Ludlum	1996
1376	0440236053	Writ of Execution	Perri O'Shaughnessy	2002
1377	038542017X	Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies	LAURA ESQUIVEL	1995
1378	0446350109	Windmills of the Gods	Sidney Sheldon	1987
1379	0140265988	Falling Leaves Brit Edition	Adeline Yen Mah	0
1380	0440212359	London Transports	Maeve Binchy	1995
1381	0515113328	The Cat Who Went into the Closet	Lilian Jackson Braun	1995
1382	0515093203	The Cat Who Played Post Office (Cat Who... (Paperback))	Lilian Jackson Braun	1991
1383	0446525731	The Christmas Train	David Baldacci	2002
1384	0515132268	The Cat Who Smelled a Rat (Cat Who... (Paperback))	Lilian Jackson Braun	2002
1385	0451190572	The Green Mile: Coffey on the Mile (Green Mile Series)	Stephen King	1996
1386	0515109509	The Cat Who Moved a Mountain	Lilian Jackson Braun	1992
1387	0449225046	Black Lightning	John Saul	1996
1388	0345338588	On a Pale Horse (Incarnations of Immortality, Bk. 1)	Piers Anthony	1989
1389	0061097101	The Saving Graces: A Novel	Patricia Gaffney	2000
1390	0312979533	A Place of Execution	Val McDermid	2001
1391	0425155404	Invasion	Robin Cook	1997
1392	0451409973	Julie and Romeo: A Novel	Jeanne Ray	2001
1393	1400030382	The Piano Tuner : A Novel	DANIEL MASON	2003
1394	0446678457	Cane River (Oprah's Book Club (Paperback))	Lalita Tademy	2002
1395	0440178002	Shogun	JAMES CLAVELL	1986
1396	0767905202	Mr. Maybe	Jane Green	2002
1397	0688170528	The Pact: A Love Story	Jodi Picoult	1999
1398	0743225082	Man and Boy: A Novel	Tony Parsons	2002
1399	0425184943	Blue Diary	Alice Hoffman	2002
1400	0671867164	The Lottery Winner: Alvirah and Willy Stories	Mary Higgins Clark	1994
1401	0060740450	One Hundred Years of Solitude (Oprah's Book Club)	Gabriel Garcia Marquez	2004
1402	1551660717	Forbidden Fruit	Erica Spindler	1996
1403	0451199685	False Pretenses	Catherine Coulter	2004
1404	0679441018	Memnoch the Devil : The Vampire Chronicles (Vampire Chronicles)	ANNE RICE	1995
1405	0064472795	Princess in the Spotlight (The Princess Diaries, Vol. 2)	Meg Cabot	2002
1406	0553269631	The Heart Is a Lonely Hunter	CARSON MCCULLERS	1983
1407	0553277537	Dandelion Wine (Grand Master Editions)	RAY BRADBURY	1985
1408	0449910237	Moo	Jane Smiley	1996
1409	0425150143	Tom Clancy's Op-Center: Mirror Image (Tom Clancy's Op Center (Paperback))	Tom Clancy	1995
1410	0061096113	Mistaken Identity	Lisa Scottoline	2000
1411	0345409973	The Cobra Event	Richard Preston	1998
1412	0345413865	Billy Straight : A Novel	JONATHAN KELLERMAN	1999
1413	0449203794	Space	James A. Michener	1988
1414	0060557257	Sushi for Beginners	Marian Keyes	2004
1415	0312983301	Full Blast (Janet Evanovich's Full Series)	Janet Evanovich	2004
1416	0373483694	Macgregor Grooms (Macgregors)	Nora Roberts	1998
1417	1551669374	Sisters Found	Joan Johnston	2002
1418	0440225299	Numbered Account	CHRISTOPHER REICH	1998
1419	0671642561	Fallen Hearts	V.C. Andrews	1988
1420	0671695126	Secrets of the Morning (Cutler)	V.C. Andrews	1991
1421	0671443283	SEEDS OF YESTERDY (Dollanger Saga (Paperback))	V.C. Andrews	1984
1422	0425144372	Clear and Present Danger	Tom Clancy	1994
1423	0028604199	Once upon a More Enlightened Time: More Politically Correct Bedtime Stories	James Finn Garner	1995
1424	0671026682	Serpent : A Novel from the NUMA Files (Numa Files Series)	Clive Cussler	2000
1425	0670839531	Needful Things: The Last Castle Rock Story	Stephen King	1991
1426	0374121230	Child of My Heart	Alice McDermott	2002
1427	0441010512	Club Dead (Southern Vampire Mysteries)	Charlaine Harris	2003
1428	0385503954	Atonement: A Novel	Ian McEwan	2002
1429	0440224071	Los Alamos: A Novel	Joseph Kanon	1998
1430	0440174643	Roots	ALEX HALEY	1980
1431	0571081789	Bell Jar	Sylvia Plath	0
1432	0440214114	Mixed Blessings	DANIELLE STEEL	1993
1433	0312099436	Women of the Silk : A Novel	Gail Tsukiyama	1993
1434	0553212478	Frankenstein (Changing Our World)	Mary Wollstonecraft Shelley	1984
1435	0842329242	Nicolae: The Rise of Antichrist (Left Behind No. 3)	Tim F. Lahaye	1998
1436	0425168298	Secret Prey	John Sandford	2003
1437	0671689746	Sweet Liar	Jude Deveraux	1993
1438	1551664348	Montana	Debbie Macomber	1998
1439	0385729332	The Sisterhood of the Traveling Pants	Ann Brashares	2001
1440	1551667010	The Soul Catcher: A Maggie O'Dell Novel	Alex Kava	2003
1441	0425168220	State of Siege (Tom Clancy's Op-Center, 6)	Tom Clancy	1999
1442	0440220793	The 13th Juror	John T. Lescroart	1995
1443	0425146413	Night Prey	John Sandford	2004
1444	0345333926	Ringworld	Larry Niven	1990
1445	0440225825	Move to Strike	Perri O'Shaughnessy	2001
1446	0679731725	The Remains of the Day (Vintage International)	Kazuo Ishiguro	1993
1447	015100692X	The Crimson Petal and the White	Michel Faber	2002
1448	155166884X	Doing Good	Pamela Morsi	2002
1449	0385314698	The Sixteen Pleasures: A Novel	Robert Hellenga	1995
1450	0679457526	Into Thin Air : A Personal Account of the Mount Everest Disaster	JON KRAKAUER	1997
1451	0446610550	The Playboy	Carly Phillips	2003
1452	0440207770	Silver Wedding	Maeve Binchy	1990
1453	0316769509	Nine Stories	J.D. Salinger	1991
1454	0671534718	Melody (Logan)	V.C. Andrews	1996
1455	0671741187	Where Are the Children?	Mary Higgins Clark	1992
1456	0440235154	Where You Belong	Barbara Taylor Bradford	2000
1457	0446603422	Stormy Weather	Carl Hiaasen	1996
1458	0684195984	FROM POTTER'S FIELD	Patricia Cornwell	1995
1459	0553572202	Self-Defense (Alex Delaware Novels (Paperback))	Jonathan Kellerman	1995
1460	0440343194	Illusions	Richard Bach	1981
1461	0451204301	Impulse	Catherine Coulter	2001
1462	0842329269	Apollyon: The Destroyer Is Unleashed (Left Behind No. 5)	Jerry Jenkins	2000
1463	0552996181	Behind the Scenes at the Museum	Kate Atkinson	1996
1464	0425165701	Ruthless.Com (Tom Clancy's Power Plays (Paperback))	Tom Clancy	1998
1465	0425148297	Naked in Death	J. D. Robb	2004
1466	0515119202	Daring to Dream	Nora Roberts	1996
1467	044022473X	Breach of Promise	Perri O'Shaughnessy	1999
1468	0345316509	Job: A Comedy of Justice	Robert A. Heinlein	1990
1469	0425077047	And Ladies of the Club	Helen Hooven Santmyer	1985
1470	0812543262	Relic	Douglas Preston	2003
1471	0740723367	The Meaning Of Life	Bradley Trevor Greive	2002
1472	0061091790	After All These Years	Susan Isaacs	1994
1473	0425151867	Acceptable Risk	Robin Cook	1996
1474	0312982518	The Sigma Protocol	Robert Ludlum	2002
1475	0425180050	Tom Clancy's Op-Center: Line of Control (Tom Clancy's Op Center (Paperback))	Jeff Rovin	2001
1476	0446609943	The Switch	Sandra Brown	2001
1477	0553250426	The Clan of the Cave Bear (Earth's Children (Paperback))	Jean M. Auel	1984
1478	0373243286	Irish Rebel (Special Edition, 1328)	Nora Roberts	2000
1479	0440117437	Now and Forever	Danielle Steel	1978
1480	0446363251	Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\""	Alexandra Ripley	1992
1481	0679785892	Fear and Loathing in Las Vegas : A Savage Journey to the Heart of the American Dream	HUNTER S. THOMPSON	1998
1482	1885171080	Girlfriends: Invisible Bonds, Enduring Ties	Carmen Renee Berry	1995
1483	0393319296	Invisible Monsters	Chuck Palahniuk	1999
1484	0671525743	Night Whispers	Judith McNaught	1999
1485	067101417X	High Tide	Jude Deveraux	2000
1486	0345442822	Angry Housewives Eating Bon Bons (Ballantine Reader's Circle)	LORNA LANDVIK	2004
1487	0140440046	Candide (Penguin Classics)	Francois M. Voltaire	1990
1488	0812509250	Xenocide (Ender Wiggins Saga (Paperback))	Orson Scott Card	1992
1489	0553278029	A Great Deliverance	Elizabeth George	1989
1490	0140042598	On the Road	Jack Kerouac	1991
1491	0553566040	Missing Joseph	Elizabeth George	1994
1492	0446600474	Season of the Machete	James Patterson	1995
1493	0345434803	The Vampire Armand (The Vampire Chronicles, Book 6)	Anne Rice	2000
1494	051510521X	Bitter Sweet	LaVyrle Spencer	1995
1495	0446354678	Memories of Midnight	Sidney Sheldon	1991
1496	0553265741	Sacred Sins	Nora Roberts	1990
1497	0441172695	Dune Messiah (Dune Chronicles, Book 2)	Frank Herbert	1994
1498	0446356832	The Sands of Time	Sidney Sheldon	1989
1499	0440236061	Unfit to Practice	Perri O'Shaughnessy	2003
1500	0553583441	Touching Evil	Kay Hooper	2001
1501	0786817070	Artemis Fowl (Artemis Fowl, Book 1)	Eoin Colfer	2002
1502	0553575538	Stealing Shadows (Shadows Trilogy (Paperback))	Kay Hooper	2000
1503	0064400026	Little House on the Prairie	Laura Ingalls Wilder	1953
1504	0821769340	Cold Blooded	Lisa Jackson	2002
1505	0316779423	Barrel Fever : Stories and Essays (Barrel Fever)	David Sedaris	1995
1506	0060085444	She Went All the Way (Avon Light Contemporary Romances)	Meggin Cabot	2002
1507	0553272586	Farewell to Manzanar: A True Story of Japanese American Experience During and After the World War II Internment	Jeanne W. Houston	1983
1508	0553234811	Valley of the Horses (Auel, Jean M. , Earth's Children.)	Jean M. Auel	1983
1509	0671776134	Plain Truth	Jodi Picoult	2001
1510	0425133516	The Hunt for Red October (Jack Ryan Novels)	Tom Clancy	1997
1511	0440168724	A Perfect Stranger	Danielle Steel	1983
1512	0345447867	The Apprentice	Tess Gerritsen	2003
1513	0440213290	The Copper Beech	Maeve Binchy	1993
1514	1573228583	Speaking With the Angel	Nick Hornby	2001
1515	0385722192	Lullaby: A Novel	Chuck Palahniuk	2003
1516	0515136379	Key of Knowledge (Key Trilogy (Paperback))	Nora Roberts	2003
1517	0515136530	Key of Valor (Roberts, Nora. Key Trilogy, 3.)	Nora Roberts	2003
1518	051513628X	Key of Light (Key Trilogy (Paperback))	Nora Roberts	2003
1519	0671693816	Wifey	Judy Blume	1989
1520	0553287737	The Bourne Ultimatum	Robert Ludlum	1991
1521	0345303067	2010: Odyssey Two	Arthur C. Clarke	1984
1522	0061030643	The Associate	Phillip Margolin	2002
1523	0671797050	FIRST WIVES CLUB	Olivia Goldsmith	1993
1524	0451204891	The Hearing	John Lescroart	2002
1525	006109918X	Talking God (Jim Chee Novels)	Tony Hillerman	1991
1526	0553576623	Miracle Cure	Michael Palmer	1999
1527	0385337116	The Rule of Four	Ian Caldwell	2004
1528	0425136191	Blindsight	Robin Cook	1993
1529	0440213029	The Lilac Bus: Stories	Maeve Binchy	1992
1530	0449215296	Family: The Ties That Bind and Gag	Erma Bombeck	1991
1531	0440498058	A Wrinkle In Time	MADELEINE L'ENGLE	1998
1532	0394742117	Out of Africa ; and, Shadows on the grass	Isak Dinesen	1985
1533	0425171884	Shadow Watch (Tom Clancy's Power Plays (Paperback))	Tom Clancy	1999
1534	0380726254	Serpent's Tooth : A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback))	Faye Kellerman	1998
1535	0446343455	Tourist Season	Carl Hiaasen	1987
1536	0060096195	The Boy Next Door	Meggin Cabot	2002
1537	0373250282	Engaging Men (Red Dress Ink (Paperback))	Lynda Curnyn	2003
1538	0345435796	The First Horseman	John Case	1999
1539	0345450892	The Lake of Dead Languages (Ballantine Reader's Circle)	Carol Goodman	2003
1540	0767913000	Fourplay: A Novel	Jane Moore	2002
1541	0373250142	Dating Without Novocaine (Red Dress Ink)	Lisa Cach	2002
1542	0345453387	Dog Handling	CLARE NAYLOR	2002
1543	0373250118	See Jane Date (Red Dress Ink (Paperback))	Melissa Senate	2001
1544	0385323638	Pink Slip	RITA CIRESI	1999
1545	0385722435	Ella Minnow Pea: A Novel in Letters	Mark Dunn	2002
1546	0385319037	Animal Husbandry	Laura Zigman	2001
1547	0312961324	The Shell Seekers (Shell Seekers)	Rosamunde Pilcher	1997
1548	0553213156	Anne of Ingleside (Anne of Green Gables Novels (Paperback))	L.M. MONTGOMERY	1984
1549	0440124344	Family Album	Danielle Steel	1989
1550	014027927X	Ralph's Party	Lisa Jewell	1999
1551	0060976497	Ten Stupid Things Women Do to Mess Up Their Lives	Laura C. Schlessinger	1995
1552	0373483503	Macgregor Brides (Macgregors)	Nora Roberts	1997
1553	0373270976	Night Shield (Intimate Moments, 1027)	Nora Roberts	2000
1554	0515122734	Sanctuary	Nora Roberts	2004
1555	0440209412	Message from Nam	Danielle Steel	1991
1556	0842329250	Soul Harvest: The World Takes Sides (Left Behind No. 4)	Tim Lahaye	1999
1557	0553562614	Snow Crash	Neal Stephenson	1993
1558	0375500510	Black and Blue : A Novel	ANNA QUINDLEN	1998
1559	0812548051	Wizard's First Rule (Sword of Truth, Book 1)	Terry Goodkind	1997
1560	0373484429	Reflections And Dreams	Nora Roberts	2001
1561	0425183971	Reunion in Death	J. D. Robb	2002
1562	0451170113	Night Shift	Stephen King	1994
1563	0425155722	The Fool's Run	John Sandford	2004
1564	0425189031	Portrait in Death	Nora Roberts	2003
1565	0679723161	Lolita (Vintage International)	VLADIMIR NABOKOV	1989
1566	0767903382	Tender at the Bone: Growing Up at the Table	Ruth Reichl	1999
1567	0385720467	Disobedience: A Novel	Jane Hamilton	2001
1568	0380714752	The True Confessions of Charlotte Doyle (rack)	Avi	1992
1569	0440944597	The Chocolate War (Laurel Leaf Books)	ROBERT CORMIER	1986
1570	1551668459	Cabin	Carla Neggers	2002
1571	0811801802	Sabine's Notebook: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Continues	Nick Bantock	1992
1572	0679744398	All the Pretty Horses (The Border Trilogy, Vol 1)	CORMAC MCCARTHY	1993
1573	0380818973	Asking for Trouble: A Novel	Elizabeth Young	2001
1574	0375826688	Eragon (Inheritance, Book 1)	Christopher Paolini	2004
1575	0375502025	The Greatest Generation	TOM BROKAW	1998
1576	055328942X	The Shelters of Stone (Earth's Children, Book 5)	JEAN M. AUEL	2003
1577	0553574086	Critical Judgment	Michael Palmer	1998
1578	0671003364	Ransom	Julie Garwood	1999
1579	0451184726	She Walks These Hills	Sharyn McCrumb	1995
1580	0446667900	A Darkness More Than Night	Michael Connelly	2002
1581	0380730820	Jupiter's Bones : A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback))	Faye Kellerman	2000
1582	0446604232	Exclusive	Sandra Brown	1997
1583	0451197399	The Ballad of Frankie Silver	Sharyn McCrumb	1999
1584	0670031909	Lost in a Good Book: A Thursday Next Novel	Jasper Fforde	2003
1585	055356773X	The Cereal Murders	Diane Mott Davidson	1994
1586	0451179285	The Stand: The Complete &amp; Uncut Edition	Stephen King	1994
1587	0066214440	Enemy Women: A Novel	Paulette Jiles	2002
1588	067164257X	GARDEN OF SHADOWS (Dollanger Saga (Paperback))	Ariel Jennifer Jones	1987
1589	0425135020	The Empress File	John Sandford	2001
1590	0451188489	A Maiden's Grave	Jeff Deaver	1996
1591	0440224594	The Return Journey	MAEVE BINCHY	1999
1592	0553569155	Seinlanguage	Jerry Seinfeld	1995
1593	0446600660	Strip Tease	Carl Hiaasen	1994
1594	0877017883	Griffin &amp; Sabine: An Extraordinary Correspondence	Nick Bantock	1991
1595	0553096060	Sein Language	JERRY SEINFELD	1993
1596	0373243790	Considering Kate (The Stanislaskis) (Silhouette Special Edition)	Nora Roberts	2001
1597	0553582801	The Man Who Ate the 747	Ben Sherwood	2002
1598	034536676X	The World According to Garp	John Irving	1994
1599	0743437802	The Stone Monkey (Lincoln Rhyme Novels (Paperback))	Jeffery Deaver	2003
1600	0515126772	Jewels of the Sun (Irish Trilogy)	Nora Roberts	2004
1601	0679735771	American Psycho (Vintage Contemporaries)	Bret Easton Ellis	2000
1602	0140620222	Pride and Prejudice (Penguin Popular Classics)	Jane Austen	1994
1603	0440224810	Special Delivery: A Novel	Danielle Steel	1998
1604	067100042X	Silent Night : A Christmas Suspense Story	Mary Higgins Clark	1996
1605	0345350685	The Autobiography of Malcolm X	Malcolm X	1989
1606	0515087122	The Cat Who Ate Danish Modern (Cat Who... (Paperback))	Lilian Jackson Braun	1990
1607	006091565X	The Dance of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships	Harriet Lerner	1997
1608	034529873X	Moreta: Dragonlady of Pern	Anne McCaffrey	1991
1609	0679742298	The Talented Mr. Ripley (Vintage Crime/Black Lizard)	Patricia Highsmith	1992
1610	0449219461	H Is for Homicide (Kinsey Millhone Mysteries (Paperback))	Sue Grafton	1993
1611	0380001411	Christy	Catherine Marshall	1976
1612	0451141083	Mindbend	Robin Cook	2001
1613	0449149986	If I'd Killed Him When I Met Him (Elizabeth MacPherson Novels (Paperback))	SHARYN MCCRUMB	1996
1614	0425152898	Mind Prey	John Sandford	2004
1615	0061030597	Moment of Truth	Lisa Scottoline	2001
1616	0671534645	Apollo 13 : Lost Moon	Jim Lovell	1995
1617	0316678104	Fortune's Rocks : A Novel	Anita Shreve	2001
1618	0671741195	The Cradle Will Fall	Mary Higgins Clark	1991
1619	0446387878	A Yellow Raft in Blue Water	Michael Dorris	1998
1620	0440110653	CRY IN THE NIGHT, A	MARY HIGGINS CLARK	1983
1621	0553566032	The Scorpio Illusion	Robert Ludlum	1994
1622	0553569570	The Apocalypse Watch	Robert Ludlum	1996
1623	0804106436	Oldest Living Confederate Widow Tells All	Allan Gurganus	1990
1624	0452284295	Cheet (Plume Books)	Anna Davis	2003
1625	0887307876	The Dilbert Principle: A Cubicle'S-Eye View of Bosses, Meetings, Management Fads &amp; Other Workplace Afflictions	Scott Adams	1996
1626	080410946X	Object Lessons	Anna Quindlen	1992
1627	051511779X	Born in Shame	Nora Roberts	1996
1628	055358264X	Dream Country	Luanne Rice	2002
1629	037570910X	The Feast of Love (Vintage Contemporaries (Paperback))	Charles Baxter	2001
1630	0425158632	Executive Orders (Jack Ryan Novels)	Tom Clancy	1997
1631	0671755064	SHAMPOO PLANET : SHAMPOO PLANET	Douglas Coupland	1993
1632	0425132048	Eyes of Prey	John Sandford	2004
1633	0446606189	Cat &amp; Mouse (Alex Cross Novels)	James Patterson	1998
1634	0446603392	Strange Highways	Dean Koontz	1996
1635	0399139540	Debt of Honor	Tom Clancy	1994
1636	0449911446	Before Women Had Wings (Ballantine Reader's Circle)	Connie May Fowler	1997
1637	0553580884	The Undertaker's Widow	Phillip Margolin	1999
1638	0446602620	Blood Work	Michael Connelly	1998
1639	044900371X	The Orchid Thief (Ballantine Reader's Circle)	Susan Orlean	2000
1640	0440184053	Summer's End	Danielle Steel	1980
1641	0440185327	Thurston House	Danielle Steel	1984
1642	0515090166	The Cat Who Saw Red	Lilian Jackson Braun	1991
1643	0515087947	The Cat Who Turned on and Off (Cat Who... (Paperback))	Lilian Jackson Braun	1995
1644	0451190564	The Green Mile: Night Journey (Green Mile Series)	Stephen King	1996
1645	0451190556	The Green Mile: The Bad Death of Eduard Delacroix (Green Mile Series)	Stephen King	1996
1646	055357227X	The Web (Alex Delaware Series, No. 10)	JONATHAN KELLERMAN	1996
